key,val
"[-0.04923767 -0.09534573  0.07133611 -0.04809768  0.0143106   0.03926266
 -0.05216583  0.05853627  0.03108251  0.0358268  -0.02519558  0.00751376
 -0.01352676  0.007467  ]",1
"[-0.05039362  0.0504066   0.03765725 -0.00617695  0.00904195 -0.05722401
 -0.01108575 -0.05149649 -0.02101982  0.01292164 -0.03504197  0.03397425
 -0.00854664 -0.00004713]",10
"[-0.04988975  0.03879479 -0.03472126  0.04962688  0.04245962  0.04770533
 -0.00351242  0.03860631 -0.0168989  -0.00753528  0.00077077  0.00861169
 -0.02637208  0.00765397]",4
"[-0.05328314  0.02712252 -0.02192047  0.00578002 -0.03041645  0.00267547
 -0.03490052 -0.01914154 -0.00433708 -0.06706326  0.02377446  0.00256646
 -0.02847895  0.00835924]",5
"[-0.00810979  0.0189283  -0.05586517 -0.06851106  0.03811008 -0.08369643
 -0.04986105  0.08505894  0.00380289 -0.00665288 -0.03572101 -0.0908828
  0.06272879  0.00382992]",2
"[-0.03640158  0.0252364  -0.05292803 -0.02075241 -0.04440087  0.04572665
  0.0342175   0.10297136  0.14800036 -0.12074151 -0.03780505  0.36716045
  0.18940826 -0.01148069]",3
"[-0.04372442 -0.01595538  0.01611615 -0.01409875 -0.0238199  -0.04520905
  0.06938135 -0.03854275  0.06095637  0.00925555  0.09919627 -0.04016425
  0.04418343 -0.00879483]",2
"[-0.04764853 -0.07579014 -0.02006828  0.05664655 -0.03140684 -0.01353696
 -0.05024587  0.03762895  0.022595    0.00951896 -0.02662936 -0.0068524
 -0.01021251  0.00954948]",9
"[-0.04877245  0.03742865  0.00467254  0.03541208 -0.03042569  0.02645919
 -0.0565303   0.0511238   0.01116269 -0.01774089 -0.01128032 -0.01389632
 -0.03818986 -0.70249845]",1
"[-0.04767899  0.04724491 -0.01372407  0.01254446 -0.01317378  0.04011215
  0.01820063  0.0077513   0.03635037  0.00255935 -0.0571804  -0.02565905
 -0.01888285  0.00615199]",6
"[-0.03588602  0.03854226 -0.04834661 -0.04288178 -0.08052087  0.06546092
 -0.00792415  0.00370325 -0.06349663  0.08881066  0.00443935 -0.02623353
  0.02234259  0.02339886]",10
"[-0.0483333   0.00725375 -0.00320275  0.03545803  0.00841818  0.00545283
  0.00473119  0.05118319 -0.00228618 -0.01285064  0.09868511  0.00321719
 -0.00684402  0.007189  ]",8
"[-0.04618161 -0.01554954  0.05773713 -0.04624722 -0.07203136 -0.06424004
  0.10680864 -0.04252449 -0.05802319 -0.08344906  0.01580989 -0.07911809
  0.07059099 -0.01181484]",4
"[-0.04998776  0.03394322  0.05726333 -0.02939048 -0.04877529 -0.015916
  0.08856969  0.08254215  0.03701486  0.09122809  0.00208369  0.04888638
 -0.05917388  0.00739508]",8
"[-0.05017662 -0.08198068  0.00545352 -0.04866574  0.08965802  0.08810282
  0.04119665  0.00859069 -0.00205012  0.02665366 -0.05529645 -0.00792258
  0.00382877 -0.00974057]",3
"[-0.03543975  0.03757486 -0.01988095 -0.02413071 -0.10800368  0.0471603
 -0.09195789  0.04740167 -0.03990681  0.0588061   0.00715176  0.18331724
  0.47221466  0.01963684]",1
