key,val
"[-0.05194333 -0.07032529  0.06816273  0.00225769 -0.03003383 -0.03496835
 -0.02412932  0.08724405 -0.0304115   0.04080697 -0.03076721 -0.00862006
  0.01338944  0.00154005]",3
"[-0.04689455 -0.0004921  -0.0622763   0.03012669  0.03418558 -0.04646365
 -0.05130886 -0.00344638  0.03110362  0.02200335 -0.01944753 -0.01406361
 -0.00601531  0.00070962]",10
"[-0.04605105 -0.01099229 -0.00758469 -0.03647772 -0.02190982  0.00054738
  0.02082628 -0.05832422  0.01117117 -0.03719193  0.02048727  0.00678163
 -0.00540621 -0.00013737]",8
"[-0.04875785 -0.00700021 -0.00478327 -0.01493388 -0.06059072 -0.02553654
  0.05537328 -0.03376935  0.01194998 -0.01191046  0.01473554 -0.01149495
  0.00024231 -0.00444181]",11
"[-0.04462778  0.05740193 -0.00133066 -0.03697139  0.02870008  0.01723519
 -0.05403413  0.02071603  0.00174949  0.00287752  0.0557961  -0.02770612
 -0.00269895  0.00303128]",6
"[-0.04111011 -0.0517042  -0.06373085 -0.00731279  0.04248697 -0.00897429
 -0.00032675 -0.03963937 -0.01289369 -0.08200324 -0.02809925  0.13369706
  0.56055692  0.00716519]",1
"[-0.01669655  0.04482054  0.00775031  0.11134448 -0.14479288  0.0310666
 -0.0342618  -0.03038247  0.0250855  -0.01617624 -0.02332863  0.02118662
 -0.00133161  0.95262809]",1
"[-0.01430048  0.03584099 -0.00649303  0.09152356 -0.08997845  0.0629386
 -0.11591586 -0.04662704  0.01544707 -0.06802348  0.05866557 -0.024927
  0.00060663 -0.02958142]",5
"[-0.04273348 -0.05055231 -0.05653368  0.00006006  0.01617098  0.02855092
  0.02538358  0.00941874 -0.04074832 -0.04921319 -0.01540035  0.02670359
 -0.010682    0.00665687]",5
"[-0.03242438 -0.06305595  0.03267648  0.09854242  0.05676743 -0.00094073
 -0.04574483 -0.02338341 -0.09764973  0.02834438  0.11841039  0.04072752
 -0.0033479   0.00347803]",3
"[-0.0437822   0.06373011  0.03019315 -0.05984947 -0.00024961  0.02405476
  0.05646527 -0.01828568  0.00229395  0.05076634 -0.14367804  0.13047562
 -0.02157869 -0.00074199]",2
"[-0.03815699  0.0482111  -0.01761006 -0.01477173  0.05523215  0.05537802
  0.0037758   0.05191455 -0.00611257 -0.02473664  0.02312104  0.0511951
 -0.01946939  0.00669582]",6
"[-0.0376933   0.06924578  0.02948828 -0.01978798  0.00599843  0.02472806
 -0.03674814 -0.09472601 -0.1452362   0.12450186  0.00975018  0.03956854
  0.00070047 -0.00236172]",6
"[-0.01362314  0.03637862  0.00188786  0.09904332 -0.1277598   0.04878095
 -0.05418468  0.01291227 -0.0027863  -0.02650619 -0.00638948  0.04014986
 -0.00335185 -0.02529276]",1
"[-0.04957629 -0.03197456  0.07374285  0.0208306   0.01159083 -0.02121427
  0.01804399 -0.02290021  0.01435247 -0.05528549 -0.00630474 -0.02070605
  0.00043345 -0.00069224]",8
"[-0.04755282 -0.03581264 -0.02999561 -0.02227049 -0.00080338  0.07384181
 -0.00269387 -0.02641747 -0.01096941  0.00092322  0.01741028 -0.04191344
  0.00178594  0.00098382]",9
"[-0.04816064 -0.05539269  0.05603475  0.02522392  0.05269895  0.05744888
 -0.02450872 -0.02528929  0.07003224  0.04173169 -0.06311183  0.02563154
 -0.0064954  -0.00164102]",3
"[-0.03766785  0.06125657  0.0273141  -0.03498197 -0.11861003  0.07658476
 -0.12477119  0.0947583  -0.07483175 -0.07622663 -0.20647594 -0.13263985
  0.02574678 -0.01671331]",1
"[-0.05034319  0.04855869  0.02102293 -0.06171928 -0.03822603 -0.08820983
 -0.01965643 -0.03966994 -0.01844    -0.01375777 -0.00876805 -0.01424539
  0.00319009 -0.00081103]",16
"[-0.04808697 -0.04983143 -0.01350765 -0.05768571 -0.05880329 -0.01001743
 -0.02557295  0.04881697 -0.03368817  0.05580763 -0.00327118  0.02110345
  0.00685885  0.00262148]",4
"[-0.04866699  0.06767052 -0.00568393  0.02903289 -0.00797967  0.02543985
  0.08756924 -0.01437022  0.00500853  0.00095231 -0.03318765 -0.04256448
 -0.00546882 -0.00657528]",6
"[-0.03797968  0.05124504  0.07804511  0.09425862  0.0731347  -0.02753564
  0.00645151 -0.09343897 -0.12646563  0.02114966 -0.01183635  0.01812309
 -0.0060304  -0.00224021]",4
"[-0.04953742  0.06521526  0.02653648 -0.06051879 -0.02028295  0.01085681
 -0.01985812  0.03458398 -0.03111753  0.06948801 -0.03754299 -0.01092903
  0.00417596 -0.00083326]",3
"[-0.0425937   0.0042516   0.00957396 -0.02315418 -0.05485612  0.05635306
  0.06555335  0.04966063  0.03513168  0.03266309  0.06647779  0.03848547
 -0.00649204 -0.00299227]",2
"[-0.0379814   0.06835939 -0.02775057  0.01541874  0.07137089  0.03364306
 -0.03141122  0.04609956  0.0603836  -0.00249194  0.07195989  0.02729378
 -0.02004371  0.00327077]",4
"[-0.04053076  0.04950594 -0.02133068  0.01619309 -0.00128856 -0.0344386
  0.03354999  0.10275086 -0.01005934 -0.01738486  0.04425527  0.03549365
 -0.01227712  0.00328428]",7
"[-0.04867974 -0.02844575 -0.02110719  0.00010527 -0.03859664  0.04023653
  0.02989159 -0.0240245   0.06801452  0.09759902 -0.04491339  0.02581158
 -0.00389537 -0.00751757]",4
"[-0.04464198  0.01773547  0.0267115  -0.06909583 -0.05883913 -0.03962402
  0.00203811 -0.00104837  0.02696526  0.00207655  0.06281979  0.04390198
 -0.00340633 -0.00063215]",5
"[-0.00786545  0.03012987  0.00510675  0.0751671  -0.1143427   0.02392497
 -0.0360891   0.02426726 -0.01192562 -0.0372322  -0.08166941  0.1726193
 -0.02120005 -0.00347332]",2
"[-0.04888289 -0.07483892  0.06499532 -0.02210083  0.01370068 -0.00547654
 -0.06318982  0.05948109 -0.03129206  0.01222254 -0.02426405  0.01204432
  0.00700295  0.00640686]",4
"[-0.04437593 -0.04998655 -0.05924688  0.02206419 -0.0215865  -0.02948335
  0.04899567  0.04134569 -0.04234449 -0.04231936 -0.00733321  0.01869032
 -0.00635911  0.00463702]",11
"[-0.04941978  0.00323212 -0.05966282  0.05022557 -0.00190107 -0.07079805
 -0.01907892  0.01946236  0.03182984  0.04558922 -0.02481328 -0.03111423
 -0.00074562 -0.00330609]",11
"[-0.04516145 -0.01814278  0.08991062  0.02653318 -0.00767242  0.04381895
  0.05055053  0.0763984   0.03803754  0.00562675  0.04172015  0.0174628
 -0.00265048 -0.00202452]",3
"[-0.05120607  0.00601151 -0.03606305 -0.0112716   0.00739727  0.01157343
 -0.02044277  0.05825598 -0.09044893  0.05772506 -0.10636702 -0.03624513
  0.00639482  0.00340622]",2
"[-0.04614816  0.07458838 -0.01346862  0.01126038  0.04605306  0.05165548
  0.03697878 -0.0230204  -0.00341925 -0.02526642 -0.0266632   0.03382707
  0.56937759 -0.00236211]",1
"[-0.049689    0.0471348   0.01093567 -0.05503598 -0.02613112 -0.06497852
 -0.05950238  0.00832719 -0.02479628 -0.00752523  0.06185793 -0.06162374
  0.0098702   0.00127532]",4
"[-0.04155008  0.03679676 -0.02311566 -0.01241167  0.03202943 -0.00123916
  0.03831477  0.02769418 -0.07700481 -0.10205423  0.00475931  0.00898433
 -0.01277678  0.00840073]",1
"[-0.03660033 -0.04736933  0.05563156  0.10394859  0.03608456  0.07641956
  0.0211631  -0.05703153 -0.07889548  0.10296185  0.02753125  0.03969696
 -0.00249754 -0.00491289]",1
"[-0.05274019  0.02610103  0.10054527 -0.01140859  0.01106328 -0.09949447
 -0.03440662 -0.01385712 -0.01560023 -0.04314561 -0.03341241 -0.03462871
  0.00657999  0.00032199]",1
"[-0.036569    0.05139386 -0.01676357 -0.02094778  0.04710403 -0.01968732
  0.04221612  0.0515647  -0.04031493 -0.05356575 -0.07052551  0.13854271
 -0.03026653  0.00952635]",2
"[-0.04715296  0.04606114  0.06737543  0.04381719  0.10913565  0.04363636
  0.00190282 -0.01455205 -0.00821395 -0.06959683 -0.05006437 -0.04377703
 -0.00921266  0.00269853]",2
"[-0.04274534  0.07005755 -0.00845452 -0.00975524  0.06399799  0.03375141
 -0.00107096 -0.07184522  0.05191349 -0.02935044 -0.00906818  0.0172761
 -0.01966916 -0.00022496]",4
"[-0.04572057 -0.00222346 -0.0634913   0.02078268  0.05096238 -0.0351506
 -0.06629267 -0.01409701  0.03076614  0.01103817 -0.01695304 -0.00613677
 -0.0084652   0.00257652]",9
"[-0.04891665 -0.04185885  0.05504997  0.05445843 -0.00080769 -0.09413704
 -0.00076929 -0.01139116  0.08837143 -0.00476074 -0.010494    0.02466094
 -0.00451888 -0.00444151]",2
"[-0.03579687  0.074207   -0.0018927   0.04763368  0.02045031 -0.01871076
  0.02636564 -0.11668517 -0.12926071  0.05178188  0.0121035   0.03654696
 -0.00906861 -0.00382004]",3
"[-0.03119479  0.06357739 -0.00396865  0.06710023 -0.00992983 -0.00955004
  0.02574055 -0.00863795 -0.07548095  0.11738933  0.09831532  0.07660471
 -0.01038457 -0.0052515 ]",1
"[-0.04834453  0.08372772 -0.00927465  0.04817896  0.00422973  0.03049407
  0.05649679 -0.01287819  0.06484544  0.03502126  0.01295391 -0.06199355
 -0.00525127 -0.00978629]",4
"[-0.04308923 -0.01867708 -0.02792853  0.09325881 -0.05060202  0.03907167
  0.05488638 -0.14989516 -0.04951934  0.15514266  0.03376773 -0.03300893
  0.00741207 -0.01624955]",1
"[-0.04220503 -0.02703677  0.07461345  0.03558994  0.00298684 -0.01154384
  0.01605468  0.08365839  0.0783161   0.0065408   0.05977129  0.0631318
 -0.00955738 -0.00051541]",2
"[-0.04250775  0.05410334 -0.01380979  0.02158503 -0.00815784  0.01083333
  0.06207938  0.09217287 -0.00466844  0.01636661  0.01074791  0.02425829
 -0.01069015 -0.00033892]",2
