key,val
"[-0.04883296 -0.03157385 -0.05196303 -0.04569987  0.02529781  0.04561567
 -0.05632945 -0.02043288 -0.00358942 -0.01960886 -0.01950918  0.02630676
  0.00307797  0.00156403]",5
"[-0.04552758  0.08295098  0.05309746  0.00264938  0.0152298   0.01228186
 -0.07305948 -0.0064414   0.02461526  0.03166     0.0027838  -0.01346247
  0.01096235  0.00147389]",5
"[-0.05058971 -0.06785242 -0.00321401  0.09451899 -0.00038269 -0.00867463
  0.02123182 -0.001539   -0.03474916 -0.0240158   0.09246141  0.0144772
  0.00376811  0.00852785]",5
"[-0.04940438  0.04183076 -0.04891486 -0.02088512 -0.03687055  0.03147091
  0.0764577   0.05113775  0.00966429 -0.0523454   0.03776922 -0.01769696
 -0.00104392 -0.0081449 ]",9
"[-0.04458186 -0.03098928  0.06144631 -0.0510888   0.02922462  0.00116315
 -0.04825248  0.03243267 -0.01619808 -0.01126217  0.02546477 -0.01000504
  0.00057916 -0.00612873]",20
"[-0.05242314  0.06067884 -0.01559885  0.02875236  0.03890643 -0.05584597
 -0.05961336 -0.06934492  0.03001213 -0.07011903  0.02512074 -0.04789414
 -0.98066524  0.09517506]",1
"[-0.01087597  0.02579465  0.02032762 -0.01797248  0.09326116  0.04841988
  0.11335482 -0.06121004  0.01862403  0.06253846  0.02678864  0.10835158
 -0.00599839  0.02886451]",2
"[-0.05075081 -0.05254377 -0.02314866 -0.03836595  0.01095969 -0.05985997
  0.00234387  0.02363598  0.00331212  0.05854472  0.00658459  0.00222599
 -0.00190701  0.01424718]",3
"[-0.03959571  0.04040321 -0.04829882  0.02362674 -0.02702739 -0.0889216
 -0.02039139 -0.0043039  -0.04237838  0.1291034   0.04831959  0.24811952
 -0.10146529 -0.9445528 ]",1
"[-0.03989056 -0.03453664  0.0538582  -0.04741312 -0.03660108  0.01338618
  0.02164144  0.01484977 -0.03880464 -0.00678805  0.00245152  0.01474919
 -0.00807584  0.00118771]",14
"[-0.0149722   0.02436275  0.02347961 -0.02153001  0.12983087  0.01558862
  0.12962868 -0.03745258 -0.08989896 -0.02637554 -0.03379252 -0.04199458
 -0.0012935  -0.02007246]",1
"[-0.04671055 -0.01316377 -0.03057171 -0.01004004 -0.02964914  0.00111127
  0.01045101 -0.08331254  0.0375374  -0.03589166 -0.08695623  0.03873714
  0.00569329  0.00213074]",5
"[-0.05207332 -0.04422701 -0.00697681 -0.01619856 -0.00209952 -0.06284667
 -0.01016211 -0.06072968  0.00724873  0.01311372  0.04234906 -0.03541889
  0.0101849  -0.00004915]",4
"[-0.04663884  0.00221538 -0.04459188 -0.01355927  0.02456601 -0.05830423
 -0.00189009  0.01974406 -0.07624616 -0.02207976 -0.09916389 -0.00579524
  0.00315692  0.0021963 ]",3
"[-0.05066312 -0.02719516  0.09220704  0.07783706  0.0316279   0.02674859
  0.00534449  0.0633845   0.05473333 -0.01520423 -0.0621792  -0.0310773
 -0.0026079  -0.02123279]",9
"[-0.05927898  0.00551464 -0.04703517  0.06734495  0.01706127  0.13178652
 -0.01589534  0.06581348 -0.00566788  0.05519055  0.06383679 -0.08878301
 -0.00416376 -0.01785215]",1
"[-0.05335845  0.07074249 -0.02232944  0.01118415  0.03637261 -0.02804142
 -0.00877339  0.01464446  0.04966965 -0.10122566  0.05922728 -0.03013049
  0.02076312 -0.01477348]",4
"[-0.05660443  0.02386741 -0.05231302 -0.04056753  0.00115123  0.078241
 -0.02544684  0.00931796  0.01245942  0.0301099   0.07803927 -0.09435933
  0.00357071 -0.0194594 ]",5
"[-0.04039951  0.07907051  0.0447998   0.00666438 -0.05673323  0.02565479
  0.00334559 -0.02566842 -0.0001076   0.036553   -0.02236767  0.0135849
  0.00150047  0.0094687 ]",11
"[-0.05373326 -0.04336376  0.00452754 -0.03301451  0.01437551 -0.087937
  0.03914533  0.06237402  0.14938564  0.05142591  0.0334734   0.05328875
 -0.00075893  0.02219686]",1
"[-0.04575197 -0.01053484  0.08331017 -0.02832433 -0.01566901 -0.0209641
  0.02911734 -0.00149682  0.06207818 -0.03815074 -0.05894658 -0.02485684
  0.00099974 -0.01935312]",4
"[-0.03802092  0.07910047  0.04209884  0.01570204 -0.00281067 -0.01301144
 -0.05933883 -0.0199596  -0.07934144 -0.01305978  0.0230775   0.02713041
  0.01156729  0.01473418]",5
"[-0.05582646 -0.06176361  0.0000463   0.09086948  0.0289469  -0.01211413
 -0.01668138 -0.00019014 -0.00567894  0.03716516  0.03343681 -0.03553159
  0.00444061 -0.00012345]",3
"[-0.05206426 -0.04950536 -0.0457843   0.06177685  0.04902156  0.09770862
 -0.05507415  0.03814997 -0.01903376  0.0049404  -0.03098078  0.0289463
 -0.0036291   0.00230332]",1
"[-0.04858216  0.03494238 -0.03273607 -0.01632803  0.04079245 -0.01138709
  0.01861517  0.07445096  0.09027469 -0.1251021  -0.00321964  0.07984148
  0.00865868  0.0026892 ]",6
"[-0.05135893  0.03194522 -0.03457184 -0.01899677  0.00523791 -0.02244825
  0.01994045  0.06893832  0.11576024  0.07384004 -0.04039172  0.05961237
 -0.00315586  0.02486176]",6
"[-0.052701   -0.00473305 -0.05441187 -0.03730835 -0.055006    0.06190154
  0.01429228 -0.04574027 -0.00469449  0.10683383 -0.05730381 -0.07481332
 -0.00736805 -0.00747721]",5
"[-0.04607347  0.03618921 -0.04700497  0.00000048 -0.03127985 -0.07618747
  0.07345852  0.05607801 -0.08864404  0.04161402 -0.05513448 -0.02460013
 -0.00452306  0.01297737]",3
"[-0.05100589 -0.03423205 -0.00119753 -0.00596222 -0.05694046 -0.02459332
  0.03899518 -0.11534883  0.05709019 -0.03142596  0.04966178 -0.02407744
  0.01108326 -0.00761735]",3
"[-0.05183322 -0.07210134 -0.02044702  0.07079314  0.00452722 -0.0021627
  0.03561696  0.07416194 -0.02249136  0.08514448 -0.01542674  0.01619977
 -0.01257912  0.01833663]",4
"[-0.04626047  0.04882764 -0.04351605 -0.00093996 -0.0006034  -0.04768299
  0.04969078  0.06976215 -0.03665798 -0.05528151  0.02319804  0.01948919
  0.00427059  0.00928126]",5
"[-0.04588704 -0.02083328 -0.02425204  0.12743513 -0.00448181  0.02757046
 -0.02395706 -0.10864639 -0.06580271 -0.07151945 -0.10527786  0.03379176
  0.01137655 -0.00054909]",2
"[-0.04925847  0.05185996 -0.03878893  0.00845058  0.04299517 -0.06971874
 -0.04384863  0.0332884  -0.05287185  0.00650939  0.05834716 -0.0048726
  0.01390405  0.01607928]",3
"[-0.04794364  0.04245804 -0.04513643 -0.00287078  0.01012439 -0.06971252
  0.00129918  0.07146462 -0.02651499  0.08865974  0.01729302  0.02949485
  0.00020477  0.03389991]",2
"[-0.03599395  0.04610354  0.03617843  0.11909572 -0.04851166  0.04331068
  0.02029474  0.04219278 -0.1478079   0.04276119 -0.00454242  0.04861434
 -0.00834683  0.02720116]",1
"[-0.04843843  0.06002037 -0.02561911  0.03615491 -0.01197665 -0.07547807
 -0.02089993 -0.07168272 -0.03383717  0.02028784  0.01385865 -0.01975697
  0.01802005  0.01291291]",4
"[-0.04365595  0.04041353 -0.04749305  0.00221494 -0.00372215 -0.05132663
 -0.02566101  0.04722535  0.03990965  0.12320024  0.06306542  0.15507441
 -0.00006892  0.07033785]",1
"[-0.01639229  0.02806396  0.02618521 -0.02616387  0.13099704  0.03731451
  0.11828427 -0.03171145 -0.01713119  0.00096224 -0.01048424 -0.0062354
 -0.00205481 -0.01082948]",2
"[-0.04459294 -0.03478232 -0.05882375 -0.04238017 -0.03420315  0.05667279
  0.00684433 -0.03633028 -0.02403088 -0.01556319 -0.04030509  0.04867026
 -0.00474537  0.00817435]",8
"[-0.03590898 -0.03371261  0.08071732  0.10408614 -0.04601193  0.0242205
  0.04316932  0.00364816 -0.01131011 -0.06883073  0.06186227  0.13724397
 -0.00238847  0.02719987]",1
"[-0.0526484  -0.02904717 -0.02001356  0.09531749  0.03205553  0.0461466
 -0.02861893 -0.01458175  0.03514242 -0.01392477 -0.08515325  0.02710151
  0.00398002 -0.00134958]",7
"[-0.05497894 -0.05160224  0.00618141  0.10093363 -0.02280818  0.02556583
  0.0291996  -0.05398478  0.04522284 -0.00758432  0.04182806 -0.02534997
  0.00574471 -0.00803449]",2
"[-0.02147027  0.03696043  0.03913531 -0.02008007  0.14659937  0.04086537
  0.09391081 -0.06719569  0.01759978 -0.00593657 -0.02138358 -0.06658786
  0.00545686 -0.03055828]",1
"[-0.05150114  0.01330487 -0.04289247 -0.02581023  0.0395968  -0.00143617
 -0.05925452  0.02625698  0.05029728  0.05610901 -0.00085072  0.03619023
  0.00446584  0.01883328]",4
"[-0.03871608 -0.00147537 -0.04761804 -0.04584939  0.13348536  0.02063394
  0.15635789 -0.03030394  0.03683511  0.15400753 -0.04923528 -0.22302904
 -0.00667812 -0.04714177]",1
"[-0.05100677 -0.0430863   0.01172592  0.00469039  0.00517071 -0.14936708
  0.00115666 -0.05172687  0.01380461  0.04434016  0.0195609  -0.01098812
  0.01217085  0.01618531]",2
"[-0.04829865  0.04119977 -0.02627902  0.14329739  0.00883639 -0.02724433
 -0.00111853  0.00750071 -0.08974842 -0.00147032  0.01988475  0.0062315
  0.01034394  0.01638577]",1
"[-0.00812573  0.02222883  0.01597754 -0.01243375  0.11980342  0.02368561
  0.06205154 -0.0601614  -0.01377892  0.08447956  0.06315243  0.15779892
 -0.00256644  0.05056286]",1
"[-0.05424274  0.05307496 -0.03063249  0.00578627 -0.00523543 -0.06011128
  0.02490916  0.01283826 -0.02847273  0.05304756 -0.03531386 -0.10811254
  0.00628862 -0.01088568]",2
"[-0.04088589 -0.02228537  0.0753796  -0.02654848 -0.03363635 -0.04317743
  0.05216189  0.00895981 -0.01076824 -0.04333876 -0.0411867   0.00019658
 -0.00283414 -0.00708888]",4
"[-0.05529191 -0.03491524  0.01606545 -0.01589403 -0.03929911 -0.07341742
  0.07143116 -0.02245286  0.17615496  0.06139484  0.00605746  0.0065015
  0.0016082   0.00853479]",2
"[-0.03350616  0.07568401  0.03479348  0.01923664 -0.06616619 -0.00123809
  0.00792771 -0.03688605 -0.10110764 -0.00875208  0.00093455  0.05094337
  0.00323704  0.02177294]",2
"[-0.04656359  0.06197855 -0.03697795  0.00062379 -0.02695883  0.00385301
  0.05198604  0.04819289  0.10681785 -0.03913645  0.07475446  0.10829615
  0.00440982  0.02723272]",1
"[-0.05089181 -0.00999976 -0.02380607 -0.01331375  0.02902708 -0.00979253
 -0.0518471  -0.06763546  0.05769566 -0.03988124 -0.06644857  0.01668363
  0.01340819 -0.00438796]",3
"[-0.04206855 -0.00334614 -0.03138088  0.02041826 -0.0364451  -0.02299175
 -0.01646435 -0.16943093 -0.05319017 -0.09550856 -0.09668606  0.03424906
  0.01700029 -0.00037291]",1
"[-0.04735196  0.06597901 -0.03249614  0.01524397 -0.04655509 -0.01140776
  0.07935549 -0.0062787   0.0190409  -0.09721617  0.03358229  0.00153502
  0.00978557 -0.00550028]",3
"[-0.04302445  0.04714257 -0.04887613  0.01333143 -0.04448737 -0.05346192
  0.049034    0.00991513 -0.08292681  0.01245759  0.02777159  0.02800806
  0.00240159  0.02579833]",3
"[-0.04840264  0.00349697 -0.04179486 -0.01499499  0.04916565 -0.06268908
 -0.02810592  0.02623633 -0.06795822 -0.02372124 -0.09042863 -0.01530598
  0.00639164 -0.00060375]",9
"[-0.05183723 -0.0344671  -0.00111206 -0.00480258 -0.01429441 -0.04722764
 -0.00909514 -0.10501932  0.02729872 -0.03489772  0.05902901 -0.03376343
  0.01638642 -0.00743898]",4
"[-0.04857466 -0.0468745  -0.01263793 -0.01345926 -0.05119647 -0.05372311
  0.04196537 -0.07384745 -0.00961889  0.01645195  0.0251894  -0.01696575
  0.00372952  0.00540536]",3
"[-0.05238997  0.06028482 -0.0154731   0.02829165  0.0381671  -0.05437721
 -0.05753585 -0.06615739  0.02797698 -0.06403886  0.02181783 -0.02884846
  0.02706462 -0.00753309]",2
"[-0.05261923 -0.03382334  0.07727139 -0.0734539   0.06566787  0.09875924
  0.06456587 -0.10993017 -0.00630306  0.07986064  0.12069058  0.1241273
 -0.00743799  0.03367882]",1
"[-0.04300101  0.0810391   0.04900925  0.00462752 -0.02022613  0.01887076
 -0.03541494 -0.01591442  0.01243467  0.03407079 -0.00960823 -0.00013633
  0.00630051  0.00541288]",9
"[-0.05857074  0.0364162  -0.01415108 -0.01233543  0.04436352 -0.02624408
 -0.0077191   0.01857095  0.13236484 -0.00774076 -0.09913257 -0.05719121
  0.01033372 -0.02248996]",1
"[-0.05535918  0.01507543 -0.03753145  0.10015657 -0.04142178  0.12492283
  0.01626809 -0.03964757 -0.04989942 -0.00762979  0.0980478  -0.10053265
  0.00458916 -0.02404548]",1
"[-0.05385759 -0.06537957  0.00207369  0.09196038  0.04547583 -0.01719645
 -0.02745736  0.0107135  -0.01899423 -0.02713385  0.10848922 -0.00275877
  0.0097977   0.00343313]",5
"[-0.04542096  0.01228565 -0.02982163  0.12399311  0.06411128 -0.03023638
 -0.04474799  0.05522597 -0.04483947 -0.03429952 -0.01034105  0.11671558
  0.00891733  0.03527852]",1
"[-0.05708185  0.03951789 -0.00584244  0.12745625  0.02278507  0.01701112
  0.01402151  0.00515495  0.04447624 -0.04773218 -0.01758466 -0.05663925
  0.013124   -0.02071669]",1
"[-0.04951155 -0.0645944   0.01025675  0.11586762 -0.0374339  -0.08494794
  0.07283467 -0.01086536 -0.02442584  0.07339938 -0.01509279  0.01658099
 -0.00325727  0.02429334]",1
"[-0.05102184  0.05848807 -0.02898989  0.01197094  0.02767323 -0.05863006
 -0.00234508  0.01798327 -0.01846814 -0.05614224  0.02153599 -0.03851899
  0.01572385 -0.00643194]",2
"[-0.05239722  0.03321073 -0.04327435 -0.00753093 -0.06136532  0.07212704
  0.01099913 -0.09722064 -0.03315734 -0.03243615  0.11084057 -0.10459298
  0.01179329 -0.02520466]",1
"[-0.05398477  0.01111879 -0.06243665 -0.05103832  0.01511429  0.06564781
 -0.04240405  0.05260158  0.003218    0.08343638  0.07657592 -0.03387676
 -0.00294583  0.00531247]",2
"[-0.01548185  0.03572188  0.03185304 -0.01167644  0.14355117  0.04257233
  0.02975981 -0.08293336  0.07103453  0.08964654  0.06836866  0.10264172
  0.00501294  0.0308636 ]",1
"[-0.04916832  0.02237501 -0.0404648  -0.00839864  0.06418186 -0.10162677
 -0.02652487  0.07679004 -0.07895111  0.01499612 -0.06039721 -0.01877895
  0.0057572   0.00978166]",2
"[-0.04703015 -0.05535925 -0.029169   -0.03545281 -0.04125261 -0.05015754
  0.057779    0.00968582 -0.01462593  0.06209477 -0.01166391  0.02185004
 -0.008772    0.0200478 ]",2
"[-0.04839106 -0.05228488 -0.05172786  0.06465264 -0.00252575  0.10728817
 -0.00034483  0.0243779  -0.03674149  0.00844537 -0.0489968   0.0483204
 -0.0104067   0.00802992]",4
"[-0.04841041  0.02722977 -0.0172453   0.02636432  0.01147453 -0.07869405
 -0.05237932 -0.09526893  0.04324694  0.03478731 -0.09710664  0.0398382
  0.01651352  0.0199182 ]",1
"[-0.01748986  0.02885298  0.02931505 -0.02109116  0.17664985  0.01298754
  0.05467416 -0.03622766 -0.03584587  0.00563785  0.01339093 -0.00861712
  0.00571081 -0.00716494]",1
"[-0.04852709 -0.02881153  0.08875076  0.0795095   0.00165283  0.03231873
  0.03716978  0.05537569  0.04443501 -0.01316616 -0.07265566 -0.01981114
 -0.00654909 -0.01790265]",4
"[-0.04929862  0.05536132 -0.02895809  0.00399243 -0.01357017  0.0090043
  0.02936594 -0.0039149   0.09365582 -0.08287468  0.04101142  0.04573483
  0.01190561  0.00224323]",2
"[-0.05303661  0.02116759 -0.05808605 -0.03777411 -0.04891642  0.08754506
  0.02771131 -0.00405909 -0.0047414   0.03351416  0.06054035 -0.07554136
 -0.00301231 -0.01389708]",3
