key,val
3389795842.01256366372.033950.0443.0,s39-eth1
3389795842.0287143881.059554.080.0,s40-eth1
2577640681.03417081513.01883.043085.0,s37-eth1
2736678765.0390912404.050030.0443.0,s38-eth1
2529051090.01223795290.062416.0443.0,s39-eth1
2529098652.03065733465.080.036099.0,s40-eth1
2529074338.0390788990.032977.0443.0,s37-eth1
2203580738.03629795820.052005.0443.0,s38-eth1
2529098652.03065733465.080.036098.0,s39-eth1
2575102202.02529098652.026096.080.0,s40-eth1
2246405267.02887326011.050032.0443.0,s37-eth1
3389795842.02918460534.063656.0443.0,s38-eth1
3389795842.01256366427.053870.0443.0,s39-eth1
3389795842.01256366427.053871.0443.0,s40-eth1
3389795842.01256369492.043888.0443.0,s37-eth1
3389795842.02918460485.059596.0443.0,s38-eth1
2529070520.03698792201.080.062065.0,s39-eth1
3629795794.02203460104.0443.062168.0,s40-eth1
3389795842.01256336404.049732.0443.0,s37-eth1
2887325788.02203470768.0443.035048.0,s38-eth1
2203568587.01741567291.038639.080.0,s39-eth1
2203521666.02887326162.054635.0443.0,s40-eth1
2203520870.01076256090.050508.025.0,s37-eth1
2736710262.0918786993.061253.080.0,s38-eth1
243553363.02529098652.010072.0443.0,s39-eth1
2529036069.01972560127.052998.080.0,s40-eth1
3389795842.0875750444.056556.04110.0,s37-eth1
2529098652.01026371151.080.02706.0,s38-eth1
2529098652.01886781589.080.041943.0,s39-eth1
2529098652.0465245993.080.08304.0,s40-eth1
2529070520.03659724275.080.060267.0,s37-eth1
3389795842.01747452525.051638.0443.0,s38-eth1
2529098652.03743172608.080.052898.0,s39-eth1
3549272828.02735754820.0443.026351.0,s40-eth1
2529093058.02887326830.060091.0443.0,s37-eth1
2246408836.02887325982.063523.0443.0,s38-eth1
3389443444.0520180363.028097.0443.0,s39-eth1
2529091513.02887326822.060473.0443.0,s40-eth1
2203521666.02887326410.054637.0443.0,s37-eth1
2736666352.0390388824.057235.0443.0,s38-eth1
3417081032.01039463213.080.011007.0,s39-eth1
3389796079.01256369520.053517.0443.0,s40-eth1
3389796007.01745806067.037500.0443.0,s37-eth1
2246440352.01736118650.053431.0443.0,s38-eth1
2529098652.01728504129.0443.039010.0,s39-eth1
2887326447.02203480281.0443.06079.0,s40-eth1
620072965.02529098652.056855.021.0,s37-eth1
3389795842.01097211350.058039.0443.0,s38-eth1
2736653649.0390130025.058491.0443.0,s39-eth1
2529053542.03243441337.048212.080.0,s40-eth1
2529098652.01941188905.080.055465.0,s37-eth1
2887326822.02529091513.0443.060473.0,s38-eth1
1917576046.02529098652.049089.0443.0,s39-eth1
2887326830.02203470768.0443.056029.0,s40-eth1
1976084954.03417081029.057979.0443.0,s37-eth1
3389795874.02918461391.042761.0443.0,s38-eth1
2529070520.03698792201.080.062082.0,s39-eth1
2529049987.0756983017.045068.080.0,s40-eth1
2529097956.03031773411.022.017520.0,s37-eth1
2203521666.02887326410.054638.0443.0,s38-eth1
3389795842.0232714695.050289.0443.0,s39-eth1
2529091513.02887372530.060463.0443.0,s40-eth1
2529098652.01728504129.0443.050318.0,s37-eth1
3389796007.03086763523.043754.0443.0,s38-eth1
2203536825.03537428278.040883.0443.0,s39-eth1
2203536825.03537428278.044580.0443.0,s40-eth1
2887326820.02203499654.0443.055417.0,s37-eth1
2529075179.0633831918.064352.0443.0,s38-eth1
2203537814.02887326154.062896.0443.0,s39-eth1
2203539130.01256384642.043762.05222.0,s40-eth1
3389795842.0600367640.056785.080.0,s37-eth1
2203534292.02887326174.058930.0443.0,s38-eth1
3417081683.0520180363.050874.0443.0,s39-eth1
2529074607.0756983004.055651.0443.0,s40-eth1
3389795842.03532125494.049818.0443.0,s37-eth1
2887372530.02529091513.0443.060463.0,s38-eth1
2736683571.0917780152.058986.0443.0,s39-eth1
2529070520.03659724275.080.060272.0,s40-eth1
1256332296.02203470768.0443.058826.0,s37-eth1
2246408386.01076256128.055644.0443.0,s38-eth1
2203520518.0603965105.0993.044329.0,s39-eth1
3389795842.01747454447.057622.0443.0,s40-eth1
3389795842.01256366359.058374.0443.0,s37-eth1
2203566717.01816743488.052222.0443.0,s38-eth1
2529098652.01741774821.0443.042524.0,s39-eth1
