key,val
"[-0.04993335 -0.03611023 -0.01663358  0.03267676 -0.01455701  0.04619605
  0.00846455 -0.0542568  -0.02082421  0.03357473 -0.04019378  0.00279023
 -0.00149399 -0.00050427]",7
"[-0.04129589 -0.0561936   0.07860298 -0.00368796  0.04974078 -0.06724629
  0.05000673  0.05952894 -0.19743917 -0.03825977  0.01932851  0.03615096
  0.0116304  -0.00034208]",1
"[-0.04915627  0.05260973 -0.03109499 -0.01272726  0.06786599 -0.00750233
 -0.02369844  0.03494669 -0.04029234 -0.01707772 -0.01028016  0.03666844
  0.01558283  0.00021379]",9
"[-0.05029516 -0.07935182  0.04219415 -0.02757594  0.03711203 -0.03344627
 -0.02600597  0.0259284   0.01751334 -0.06546813  0.08035266  0.01110724
  0.0021161  -0.00188312]",1
"[-0.02768682 -0.02730438  0.09953014 -0.05520842 -0.02043822 -0.05494165
  0.01566455  0.11947722  0.006267   -0.00834926 -0.09898224 -0.09712035
 -0.00226535  0.005187  ]",2
"[-0.00835396  0.02043591  0.01997227  0.01780205  0.07214303  0.00737944
  0.14016567 -0.02821124  0.02147109  0.07165923  0.0515315  -0.1544299
 -0.00765539  0.01707491]",2
"[-0.04711862  0.0369183  -0.03886785 -0.01874469 -0.00345936 -0.01312273
  0.01015677 -0.05036409 -0.02214232 -0.07309536  0.0035031   0.01076842
  0.0089397   0.00655625]",7
"[-0.04302955  0.04090157 -0.04244229 -0.02599021 -0.02507829 -0.02553951
  0.01721358  0.02233487  0.04683721 -0.03573608 -0.04084915  0.00493445
  0.00512183  0.00987045]",9
"[-0.0436248   0.03291104 -0.02862544 -0.01277864 -0.04299657 -0.01221428
 -0.02441715 -0.007386    0.01824769  0.1407473   0.0842262  -0.14248277
 -0.01030162 -0.02335899]",1
"[-0.04771349 -0.02817084  0.01333082  0.04614731  0.0067975   0.03237883
 -0.0534876   0.01472107  0.08480416  0.03335768 -0.07066513 -0.00309032
 -0.00301671  0.00039222]",1
"[-0.04838785  0.01038831 -0.0281697   0.01156872  0.04732887 -0.0115418
 -0.03691416 -0.05227748 -0.06343175  0.0297217  -0.05192876 -0.02882855
  0.00768944 -0.00463015]",5
"[-0.04429214  0.00904549 -0.05195372 -0.01477841 -0.02915651 -0.01410867
  0.04082554 -0.02476847 -0.00913579  0.01477038 -0.11659189  0.01135477
  0.00373679  0.01142136]",3
